,,,,,,,,,,
,Subtotal,,,$148.46,,,,,,
,,,,,,,,,,
Component,Part Number,Purpose,Qty per board,Cost Per Unit,Quantity,Total,Link,Datasheet,Notes,
1M restistor,,1M resistor,2,$0.10,15,$1.50,https://www.digikey.com/product-detail/en/yageo/RC1206FR-071ML/311-1.00MFRCT-ND/731335,,,
BATT reg,TPS63060DSCR,,1,$2.41,6,$12.88,https://www.digikey.com/product-detail/en/texas-instruments/TPS63060DSCR/296-30204-1-ND/2834996,,,
PWR/BAT Switch,PWR/BAT Switch,PWR/BAT Switch,1,$1.61,8,$12.88,https://www.digikey.com/product-detail/en/omron-electronics-inc-emc-div/A6S-1104-H/Z5187-ND/3102846,,,
 R1,resistor,,1,$0.10,10,$1.00,https://www.digikey.com/product-detail/en/yageo/RC1206JR-071KL/311-1.0KERCT-ND/732133,,,
L2,L2,L2,1,$0.40,$6,2.4,https://www.digikey.com/product-detail/en/murata-electronics/LQM31PN1R0M00L/490-4039-1-ND/1016299,,,
L1,L1,L1,1,$0.40,6,$2.40,https://www.digikey.com/product-detail/en/murata-electronics/LQM31PN2R2M00L/490-6704-1-ND/3845901,,,
12 pos horizontal rail ,rail,rail,3,$0.58,20,$11.60,https://www.digikey.com/product-detail/en/te-connectivity-amp-connectors/1-640457-2/A19485-ND/259022,,,
GRPB052VWVN-RC,S9015E-05-ND,Programmer Pins,1,$0.72,7,$5.04,https://www.digikey.com/product-detail/en/sullins-connector-solutions/GRPB052VWVN-RC/S9015E-05-ND/1786455,,,
PH1RB-02-UA,2057-PH1RB-02-UA-ND,Power Pin GPIO,1,$0.07,10,$0.70,https://www.digikey.com/product-detail/en/adam-tech/PH1RB-02-UA/2057-PH1RB-02-UA-ND/9830333,,,
GRPB021VWCN-RC,S9016E-02-ND,JST_Batt,1,$0.25,10,$2.50,https://www.digikey.com/product-detail/en/sullins-connector-solutions/GRPB021VWCN-RC/S9016E-02-ND/1786465,,,
PH1RB-02-UA,2057-PH1RB-02-UA-ND,GPIO,1,$0.10,10,$1,https://www.digikey.com/product-detail/en/adam-tech/PH1RB-02-UA/2057-PH1RB-02-UA-ND/9830333,,,
TPS62163DSGR,296-29898-1-ND,LDO,1,$1.79,7,$12.53,https://www.digikey.com/product-detail/en/texas-instruments/TPS62163DSGR/296-29898-1-ND/2782628,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
10% extra parts added sometimes more,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
y,"C1, C4, C5, C10, C11",5,,Device:C,10uF,~,Unpolarized capacitor,,,
y,C2,1,,Device:C,100pF,~,Unpolarized capacitor,,,
"y
","C3, C16, C17, C18",4,,Device:C,22uF,~,Unpolarized capacitor,,,
y,"C6, C7, C9",3,,Device:C,0.1F,~,Unpolarized capacitor,,,
y,C8,1,,Device:C,1uF,~,Unpolarized capacitor,,,
y,C12,1,,Device:C,0.1uF,~,Unpolarized capacitor,,,
y,"C13, C14",2,,Device:C,15pF,~,Unpolarized capacitor,,,
y,C15,1,,Device:C,10pF,~,Unpolarized capacitor,,,
y,"D1, D2, D3, D4",4,,pspice:DIODE,B160-13-F,~,Diode symbol for simulation only. Pin order incompatible with official kicad footprints,,,
,,,,,,,,,,
y,FB1,1,,Device:Ferrite_Bead_Small,Ferrite_Bead_Small,~,"Ferrite bead, small symbol",,,
y,J3,1,,Connector_Generic:Conn_01x02,Conn_01x02,https://www.digikey.com/product-detail/en/adam-tech/PH1RB-02-UA/2057-PH1RB-02-UA-ND/9830333,"Generic connector, single row, 01x02, script generated (kicad-library-utils/schlib/autogen/connector/)",,,
y,J4,1,,Connector:USB_B_Micro,USB_B_Micro,~,USB Micro Type B connector,,,
y,J5,1,,Connector:Conn_ARM_JTAG_SWD_10,Conn_ARM_JTAG_SWD_10,https://www.digikey.com/product-detail/en/sullins-connector-solutions/GRPB052VWVN-RC/S9015E-05-ND/1786455,"Cortex Debug Connector, standard ARM Cortex-M SWD and JTAG interface",,,
y,J8,1,,Connector_Generic:Conn_01x02,Conn_01x02,~,"Generic connector, single row, 01x02, script generated (kicad-library-utils/schlib/autogen/connector/)",,,jst_batt
y,"J9, J10, J11",3,,Connector_Generic:Conn_01x12,Conn_01x12,~,"Generic connector, single row, 01x12, script generated (kicad-library-utils/schlib/autogen/connector/)",,,
y,L1,1,,Device:L,2.2uH,~,Inductor,,,
y,L2,1,,Device:L,1uH,~,Inductor,,,
y,R1,1,,Device:R,1k,~,Resistor,,,
y,R2,1,,Device:R,2.2k,~,Resistor,,,
y,R3,1,,Device:R,$330.00,~,Resistor,,,
y,R4,1,,Device:R,100k,~,Resistor,,,
y,"R5, R6, R7",3,,Device:R,$240.00,~,Resistor,,,
y,"R8, R10",2,,Device:R,1M,~,Resistor,,,
y,R9,1,,Device:R,111k,~,Resistor,,,
y,SW1,1,,Switch:SW_SPST,BATT_PWR,~,Single Pole Single Throw (SPST) switch,,,
y,SW2,1,,Switch:SW_Push,RST_SW,~,"Push button switch, generic, two pins",,,
y,U1,1,,Regulator_Switching:TPS62163DSG,TPS62163DSG,http://www.ti.com/lit/ds/symlink/tps62160.pdf,"1A Step-Down Converter with DCS-Control, fixed 5.0V output, 3-17V input voltage, WSON-8",,,
y,U2,1,,Regulator_Switching:TPS63060,TPS63060,http://www.ti.com/lit/ds/symlink/tps63060.pdf,"Buck-Boost Converter, 2.5-12V Input Voltage, 2-A Switch Current, Adjustable 2.5-8V Output Voltage, S-PWSON-N10",,,
,,,,,,,,,,
y,Y1,1,,Device:Crystal_GND23,Crystal_ABS,~,"Four pin crystal, GND on pins 2 and 3",,,
